id_destination,destination_name,description,category,city,price,rate
1,Ranu Regulo,Ranu Regulo merupakan salah satu danau alami di Kabupaten Lumajang tepatnya di Desa Ranu Pani,Wisata Alam Pegunungan,Lumajang,24000,3.9
2,Puncak B29,Puncak B29 adalah spot terbaik menikmati sunrise di Bromo dari Lumajang dan Malang dengan view negeri di atas awan setinggi 2900 mdpl,Wisata Alam Pegunungan,Lumajang,5000,4.1
3,Tumpak Sewu,Air Terjun Tumpak Sewu atau disebut juga Coban Sewu adalah sebuah air terjun berketinggian sekitar 120 meter,Wisata Alam Pegunungan,Lumajang,10000,4.12
4,Kapas Biru,Air Terjun Kapas Biru atau Coban Kapas Biru merupakan sebuah air terjun bertingkat dengan memiliki 2 tingkatan,Wisata Air,Lumajang,5000,3.8
5,Goa Tetes,Wisata Goa Tetes atau Air Terjun Goa Tetes merupakan sebuah gabungan antara wisata air terjun dan goa yang menarik untuk dikunjungi.,Wisata Air,Lumajang,5000,4
6,Coban Sriti,Coban Sriti Lumajang merupakan sebuah objek wisata alam yang menyuguhkan keindahan air terjun di kaki Gunung Semeru.,Wisata Alam Pegunungan,Lumajang,5000,4
7,Ranu Pani,"Ranu Pani atau Ranupani adalah sebuah danau vulkanik di Desa Ranu Pani, Kecamatan Senduro, Kabupaten Lumajang, Jawa Timur",Wisata Alam Pegunungan,Lumajang,5000,3.9
8,Ranu Klakah,"Ranu Klakah adalah sebuah danau di kecamatan Klakah, Lumajang, Jawa Timur. Letaknya sekitar 10 km di sebelah utara kota Lumajang . Danau ini berada pada ketinggian 900 meter",Wisata Air,Lumajang,5000,3.9
9,Gunung Semeru,"Salah satu destinasi wisata gunung yang sering dikunjungi adalah Gunung Semeru. Terletak di Kabupaten Lumajang dan Malang, Jawa Timur, puncak tertinggi di Pulau Jawa ini menawarkan panorama alam yang luar biasa serta tantangan tersendiri bagi para pendaki.",Wisata Alam Pegunungan,Lumajang,19000,3.9
10,Pantai Bambang,"Pantai Bambang merupakan salah satu tempat wisata yang terletak di Rekasan, Bago, Pasirian, Kabupaten Lumajang, Jawa Timur. ",Wisata Air,Lumajang,5000,4
11,Coban Pawon,"Coban Pawon atau disebut juga Antrukan Pawon merupakan air terjun yang kondisinya masih alami, dan belum dikelola secara optimal baik oleh pemerintah",Wisata Alam Pegunungan,Lumajang,0,3.8
12,Kebun Teh Kertowono,"Kebun teh ini tak hanya menawarkan hamparan tanaman teh yang luas, tetapi juga gagahnya Gunung Semeru yang nampak dari kejauhan",Wisata Ikonik,Lumajang,5000,4
13,Alun-Alun Lumajang," Alun-alun Lumajang adalah salah satu ruang terbuka publik yang paling menarik di tengah kota Lumajang, menawarkan beragam aktivitas dan atraksi yang menyenangkan",Wisata Ikonik,Lumajang,0,4.1
14,Gunung Lemongan,Gunung Lamongan atau Gunung Lemongan adalah sebuah gunung berapi kerucut kecil yang terletak di antara kompleks kaldera Tengger dan kompleks gunung berapi Iyang-Argapura,Wisata Alam Pegunungan,Lumajang,0,4
15,Pemandian Alam Selokambang,Pemandian Alam Selokambang merupakan pemandian alami yang sumber airnya berasal dari mata air karena letaknya di lereng Gunung Semeru,Wisata Air,Lumajang,5000,4.1
16,Hutan Bambu Lumajang,"Hutan Bambu merupakan destinasi wisata alam yang berada di Kabupaten Lumajang, Jawa Timur. Desa wisata yang terletak di kaki Gunung Semeru",Wisata Ikonik,Lumajang,3000,4.2
17,Pantai Watu Pecak,"Pantai Watu Pecak adalah salah satu jejeran pantai selatan di Lumajang yang menawarkan pasir hitam eksotis, kuda tunggang, dan kuliner laut yang enak.",Wisata Air,Lumajang,5000,4.1
18,Pemandian Alam Tirtosari,Salah satu keunikan pemandian ini adalah menyuguhkan panorama underwater atau bawah air. Wisatawan bisa berfoto di dalam kolam dengan air yang jernih dan penuh ikan,Wisata Air,Lumajang,3000,4.2
19,Pantai Watu Godek,Pantai Watu Godeg merupakan destinasi wisata yang mempersembahkan pesona alam pantai yang menarik perhatian baik dari pengunjung lokal maupun internasional,Wisata Air,Lumajang,5000,4.1
20,Hutan Pinus Poncosumo,Hutan Pinus Poncosumo merupakan spot wisata alam di Lumajang yang menawarkan pesona air terjun mini dan cocok untuk liburan keluarga,Wisata Alam Pegunungan,Lumajang,0,4.1
21,Savana Pandan Wangi,Savana pandangwangi adalah hambaran padang rumput yang hijau di tepi pantai pandanwangi dengan gemamgam air yang luas,Wisata Alam Pegunungan,Lumajang,0,3.8
